Scenario_ID,Variant_ID,Browser,Device,Email_Delivery,Network_Speed,Order_Status,User_Type
TS-044,V00001,Chrome,Desktop,Immediate,High,Confirmed,Buyer
TS-044,V00002,Chrome,Desktop,Immediate,Medium,Confirmed,Buyer
TS-044,V00003,Chrome,Desktop,Immediate,Low,Confirmed,Buyer
TS-044,V00004,Chrome,Mobile,Immediate,High,Confirmed,Buyer
TS-044,V00005,Chrome,Mobile,Immediate,Medium,Confirmed,Buyer
TS-044,V00006,Chrome,Mobile,Immediate,Low,Confirmed,Buyer
TS-044,V00007,Chrome,Tablet,Immediate,High,Confirmed,Buyer
TS-044,V00008,Chrome,Tablet,Immediate,Medium,Confirmed,Buyer
TS-044,V00009,Chrome,Tablet,Immediate,Low,Confirmed,Buyer
TS-044,V00010,Firefox,Desktop,Immediate,High,Confirmed,Buyer
TS-044,V00011,Firefox,Desktop,Immediate,Medium,Confirmed,Buyer
TS-044,V00012,Firefox,Desktop,Immediate,Low,Confirmed,Buyer
TS-044,V00013,Firefox,Mobile,Immediate,High,Confirmed,Buyer
TS-044,V00014,Firefox,Mobile,Immediate,Medium,Confirmed,Buyer
TS-044,V00015,Firefox,Mobile,Immediate,Low,Confirmed,Buyer
TS-044,V00016,Firefox,Tablet,Immediate,High,Confirmed,Buyer
TS-044,V00017,Firefox,Tablet,Immediate,Medium,Confirmed,Buyer
TS-044,V00018,Firefox,Tablet,Immediate,Low,Confirmed,Buyer
TS-044,V00019,Safari,Desktop,Immediate,High,Confirmed,Buyer
TS-044,V00020,Safari,Desktop,Immediate,Medium,Confirmed,Buyer
TS-044,V00021,Safari,Desktop,Immediate,Low,Confirmed,Buyer
TS-044,V00022,Safari,Mobile,Immediate,High,Confirmed,Buyer
TS-044,V00023,Safari,Mobile,Immediate,Medium,Confirmed,Buyer
TS-044,V00024,Safari,Mobile,Immediate,Low,Confirmed,Buyer
TS-044,V00025,Safari,Tablet,Immediate,High,Confirmed,Buyer
TS-044,V00026,Safari,Tablet,Immediate,Medium,Confirmed,Buyer
TS-044,V00027,Safari,Tablet,Immediate,Low,Confirmed,Buyer
TS-044,V00028,Edge,Desktop,Immediate,High,Confirmed,Buyer
TS-044,V00029,Edge,Desktop,Immediate,Medium,Confirmed,Buyer
TS-044,V00030,Edge,Desktop,Immediate,Low,Confirmed,Buyer
TS-044,V00031,Edge,Mobile,Immediate,High,Confirmed,Buyer
TS-044,V00032,Edge,Mobile,Immediate,Medium,Confirmed,Buyer
TS-044,V00033,Edge,Mobile,Immediate,Low,Confirmed,Buyer
TS-044,V00034,Edge,Tablet,Immediate,High,Confirmed,Buyer
TS-044,V00035,Edge,Tablet,Immediate,Medium,Confirmed,Buyer
TS-044,V00036,Edge,Tablet,Immediate,Low,Confirmed,Buyer
TS-044,V00037,Chrome,Desktop,Delayed,High,Confirmed,Buyer
TS-044,V00038,Chrome,Desktop,Delayed,Medium,Confirmed,Buyer
TS-044,V00039,Chrome,Desktop,Delayed,Low,Confirmed,Buyer
TS-044,V00040,Chrome,Mobile,Delayed,High,Confirmed,Buyer
TS-044,V00041,Chrome,Mobile,Delayed,Medium,Confirmed,Buyer
TS-044,V00042,Chrome,Mobile,Delayed,Low,Confirmed,Buyer
TS-044,V00043,Chrome,Tablet,Delayed,High,Confirmed,Buyer
TS-044,V00044,Chrome,Tablet,Delayed,Medium,Confirmed,Buyer
TS-044,V00045,Chrome,Tablet,Delayed,Low,Confirmed,Buyer
TS-044,V00046,Firefox,Desktop,Delayed,High,Confirmed,Buyer
TS-044,V00047,Firefox,Desktop,Delayed,Medium,Confirmed,Buyer
TS-044,V00048,Firefox,Desktop,Delayed,Low,Confirmed,Buyer
TS-044,V00049,Firefox,Mobile,Delayed,High,Confirmed,Buyer
TS-044,V00050,Firefox,Mobile,Delayed,Medium,Confirmed,Buyer
TS-044,V00051,Firefox,Mobile,Delayed,Low,Confirmed,Buyer
TS-044,V00052,Firefox,Tablet,Delayed,High,Confirmed,Buyer
TS-044,V00053,Firefox,Tablet,Delayed,Medium,Confirmed,Buyer
TS-044,V00054,Firefox,Tablet,Delayed,Low,Confirmed,Buyer
TS-044,V00055,Safari,Desktop,Delayed,High,Confirmed,Buyer
TS-044,V00056,Safari,Desktop,Delayed,Medium,Confirmed,Buyer
TS-044,V00057,Safari,Desktop,Delayed,Low,Confirmed,Buyer
TS-044,V00058,Safari,Mobile,Delayed,High,Confirmed,Buyer
TS-044,V00059,Safari,Mobile,Delayed,Medium,Confirmed,Buyer
TS-044,V00060,Safari,Mobile,Delayed,Low,Confirmed,Buyer
TS-044,V00061,Safari,Tablet,Delayed,High,Confirmed,Buyer
TS-044,V00062,Safari,Tablet,Delayed,Medium,Confirmed,Buyer
TS-044,V00063,Safari,Tablet,Delayed,Low,Confirmed,Buyer
TS-044,V00064,Edge,Desktop,Delayed,High,Confirmed,Buyer
TS-044,V00065,Edge,Desktop,Delayed,Medium,Confirmed,Buyer
TS-044,V00066,Edge,Desktop,Delayed,Low,Confirmed,Buyer
TS-044,V00067,Edge,Mobile,Delayed,High,Confirmed,Buyer
TS-044,V00068,Edge,Mobile,Delayed,Medium,Confirmed,Buyer
TS-044,V00069,Edge,Mobile,Delayed,Low,Confirmed,Buyer
TS-044,V00070,Edge,Tablet,Delayed,High,Confirmed,Buyer
