Scenario_ID,Variant_ID,Address_State,Address_Type,Browser,Device,Network_Speed,Payment_Method,User_Type
TS-038,V00001,Both_New,Different_Addresses,Chrome,Desktop,High,Credit_Card,Buyer
TS-038,V00002,Both_New,Different_Addresses,Chrome,Desktop,Medium,Credit_Card,Buyer
TS-038,V00003,Both_New,Different_Addresses,Chrome,Desktop,Low,Credit_Card,Buyer
TS-038,V00004,Both_New,Different_Addresses,Chrome,Mobile,High,Credit_Card,Buyer
TS-038,V00005,Both_New,Different_Addresses,Chrome,Mobile,Medium,Credit_Card,Buyer
TS-038,V00006,Both_New,Different_Addresses,Chrome,Mobile,Low,Credit_Card,Buyer
TS-038,V00007,Both_New,Different_Addresses,Chrome,Tablet,High,Credit_Card,Buyer
TS-038,V00008,Both_New,Different_Addresses,Chrome,Tablet,Medium,Credit_Card,Buyer
TS-038,V00009,Both_New,Different_Addresses,Chrome,Tablet,Low,Credit_Card,Buyer
TS-038,V00010,Both_New,Different_Addresses,Firefox,Desktop,High,Credit_Card,Buyer
TS-038,V00011,Both_New,Different_Addresses,Firefox,Desktop,Medium,Credit_Card,Buyer
TS-038,V00012,Both_New,Different_Addresses,Firefox,Desktop,Low,Credit_Card,Buyer
TS-038,V00013,Both_New,Different_Addresses,Firefox,Mobile,High,Credit_Card,Buyer
TS-038,V00014,Both_New,Different_Addresses,Firefox,Mobile,Medium,Credit_Card,Buyer
TS-038,V00015,Both_New,Different_Addresses,Firefox,Mobile,Low,Credit_Card,Buyer
TS-038,V00016,Both_New,Different_Addresses,Firefox,Tablet,High,Credit_Card,Buyer
TS-038,V00017,Both_New,Different_Addresses,Firefox,Tablet,Medium,Credit_Card,Buyer
TS-038,V00018,Both_New,Different_Addresses,Firefox,Tablet,Low,Credit_Card,Buyer
TS-038,V00019,Both_New,Different_Addresses,Safari,Desktop,High,Credit_Card,Buyer
TS-038,V00020,Both_New,Different_Addresses,Safari,Desktop,Medium,Credit_Card,Buyer
TS-038,V00021,Both_New,Different_Addresses,Safari,Desktop,Low,Credit_Card,Buyer
TS-038,V00022,Both_New,Different_Addresses,Safari,Mobile,High,Credit_Card,Buyer
TS-038,V00023,Both_New,Different_Addresses,Safari,Mobile,Medium,Credit_Card,Buyer
TS-038,V00024,Both_New,Different_Addresses,Safari,Mobile,Low,Credit_Card,Buyer
TS-038,V00025,Both_New,Different_Addresses,Safari,Tablet,High,Credit_Card,Buyer
TS-038,V00026,Both_New,Different_Addresses,Safari,Tablet,Medium,Credit_Card,Buyer
TS-038,V00027,Both_New,Different_Addresses,Safari,Tablet,Low,Credit_Card,Buyer
TS-038,V00028,Both_New,Different_Addresses,Edge,Desktop,High,Credit_Card,Buyer
TS-038,V00029,Both_New,Different_Addresses,Edge,Desktop,Medium,Credit_Card,Buyer
TS-038,V00030,Both_New,Different_Addresses,Edge,Desktop,Low,Credit_Card,Buyer
TS-038,V00031,Both_New,Different_Addresses,Edge,Mobile,High,Credit_Card,Buyer
TS-038,V00032,Both_New,Different_Addresses,Edge,Mobile,Medium,Credit_Card,Buyer
TS-038,V00033,Both_New,Different_Addresses,Edge,Mobile,Low,Credit_Card,Buyer
TS-038,V00034,Both_New,Different_Addresses,Edge,Tablet,High,Credit_Card,Buyer
TS-038,V00035,Both_New,Different_Addresses,Edge,Tablet,Medium,Credit_Card,Buyer
TS-038,V00036,Both_New,Different_Addresses,Edge,Tablet,Low,Credit_Card,Buyer
TS-038,V00037,Both_New,Different_Addresses,Chrome,Desktop,High,Debit_Card,Buyer
TS-038,V00038,Both_New,Different_Addresses,Chrome,Desktop,Medium,Debit_Card,Buyer
TS-038,V00039,Both_New,Different_Addresses,Chrome,Desktop,Low,Debit_Card,Buyer
TS-038,V00040,Both_New,Different_Addresses,Chrome,Mobile,High,Debit_Card,Buyer
TS-038,V00041,Both_New,Different_Addresses,Chrome,Mobile,Medium,Debit_Card,Buyer
TS-038,V00042,Both_New,Different_Addresses,Chrome,Mobile,Low,Debit_Card,Buyer
